date,highest_category,FLUR,FLBP1FH,Investor Purchases_FL,Investor Market Share_FL,Investor Purchases YoY_FL,Investor Purchases_Total,Investor Market Share_Total,Investor Purchases YoY_Total,HPI_South_Atlantic_Not_Seasonally_Adjusted,HPI_South_Atlantic_Seasonally_Adjusted,HPI_USA_Not_Seasonally_Adjusted,HPI_USA_Seasonally_Adjusted,Inventory_FL,Inventory_Non_FL,Inventory_US,DaysToClose_FL,DaysToClose_Non_FL,DaysToClose_US,MarketTemp_FL,MarketTemp_Non_FL,MarketTemp_US,NewConSales_FL,NewConSales_Non_FL,NewConSales_US,ZHVI_Tier_FL,ZHVI_Tier_Non_FL,ZHVI_Tier_US,ZORDI_Condo_FL,ZORDI_Condo_Non_FL,ZORDI_Condo_US,ZORDI_MFR_FL,ZORDI_MFR_Non_FL,ZORDI_MFR_US,ZORDI_SFR_FL,ZORDI_SFR_Non_FL,ZORDI_SFR_US,ZORDI_All_FL,ZORDI_All_Non_FL,ZORDI_All_US
2021-08-01,,4.5,12876,,,,,,,363.29,358.1,350.86,345.94,1657.5344827586207,624.7608370702541,657.2803112558812,38.61764705882353,37.974474474474476,38.059895833333336,67.82758620689656,66.74547511312217,66.77984665936474,350.2173913043478,396.79245283018867,393.0729166666667,298675.93951224355,247977.99239381842,249620.71917195732,130.27777777777777,159.44444444444446,155.55555555555554,217.95454545454547,185.86910994764398,187.61633663366337,227.83333333333334,221.39709443099272,221.75057208237988,207.70833333333334,184.1731843575419,185.1800356506239
2021-09-01,,4.2,12162,,,,,,,365.12,361.26,353.2,349.48,1664.1120689655172,622.6874766703994,655.4437816341286,37.6764705882353,37.55580357142857,37.57170542635659,65.24137931034483,63.943630214205186,63.98471615720524,363.17391304347825,396.3698113207547,393.71875,302884.0570604063,248621.64755147957,250379.87087634986,123.22222222222223,137.83898305084745,135.90441176470588,206.0909090909091,163.55526992287918,165.83211678832117,187.95833333333334,187.59952038369303,187.61904761904762,180.70833333333334,159.4739776951673,160.38078291814946
2021-10-01,,4.0,11310,20456,27.5,69.66666666666667,94722,17.731060606060606,46.48295454545455,369.29,366.72,356.02,353.92,1645.1310344827587,600.9736095558044,633.8158712942877,37.199999999999996,37.31991150442477,37.30423076923077,65.20689655172414,61.546380090497735,61.66265060240964,323.1304347826087,363.1203007518797,359.93771626297575,307384.350179175,249719.99216873117,251588.44622717015,116.11111111111111,121.24166666666666,120.57246376811594,196.95454545454547,140.94014962593516,143.8534278959811,165.79166666666666,161.86352941176472,162.07349665924275,162.875,138.53382084095065,139.5569176882662
2021-11-01,,3.8,10626,,,,,,,374.87,373.63,358.94,358.85,1534.948275862069,534.6090892123927,566.0731200289226,36.30882352941177,36.825958702064895,36.75833333333333,66.62068965517241,60.659909909909906,60.848418756815704,350.0,374.817843866171,372.86301369863014,312169.8966163076,251363.38794055567,253333.65470211636,101.27777777777777,101.50434782608696,101.47368421052632,181.22727272727272,123.7412935323383,126.72405660377359,144.125,136.62004662004662,137.01766004415012,144.0,119.85063752276866,120.86212914485166
2021-12-01,,3.6,11256,,,,,,,378.77,379.6,361.62,363.89,1400.094827586207,450.1713325867861,480.0496203904555,36.411764705882355,37.030235988200594,36.94935897435898,72.58620689655173,65.03510758776896,65.27521929824562,418.60869565217394,447.9442379182156,445.6335616438356,316183.9487620096,251795.2081666178,253881.54724736238,93.72222222222223,99.80645161290323,99.03521126760563,175.77272727272728,117.54656862745098,120.52558139534884,131.625,127.53440366972477,127.74782608695652,134.875,113.03237410071942,113.93620689655172
2022-01-01,,3.5,11878,18849,27.5,40.0,84441,18.738636363636363,28.285984848484848,385.01,387.04,366.15,369.29,1285.889655172414,384.5624860022396,412.91225596529284,37.36470588235294,38.03761061946903,37.949615384615385,79.72413793103448,73.5554298642534,73.7513691128149,315.4782608695652,342.11439114391146,340.03061224489795,323884.0880687792,254700.08955428834,256941.80570727188,116.94736842105263,104.05555555555556,105.7448275862069,196.5909090909091,123.82227488151659,127.42792792792793,151.04,141.2982062780269,141.81528662420382,157.28,122.2202486678508,123.71088435374149
2022-02-01,,3.3,11884,,,,,,,395.41,394.19,373.89,374.48,1251.5862068965516,374.38559163867114,401.9765003615329,36.470588235294116,37.32448377581121,37.212820512820514,81.48275862068965,80.88674971687429,80.90570175438596,329.5217391304348,365.3357933579336,362.53401360544217,332616.6955033258,258304.44299949022,260712.32604151394,130.72222222222223,117.93023255813954,119.49659863945578,221.13636363636363,141.21311475409837,145.1291759465479,178.36,170.33260393873084,170.74896265560167,182.4,142.9809688581315,144.61525704809287
2022-03-01,,3.2,13267,,,,,,,403.84,400.26,381.67,379.09,1268.7413793103449,389.6486562150056,417.2990780911063,34.75,34.72566371681416,34.728846153846156,77.44827586206897,81.81397970687712,81.67576419213974,422.7826086956522,471.4059040590406,467.6020408163265,343057.0809294132,262959.65082006244,265554.986544276,123.05,130.93333333333334,129.91612903225806,218.13636363636363,151.183908045977,154.4070021881838,181.08,186.2258064516129,185.96326530612245,181.04,154.6542372881356,155.72682926829268
2022-04-01,,3.1,13511,21969,27.166666666666668,14.5,95268,17.914772727272727,6.935606060606061,413.03,406.87,389.73,383.76,1357.8758620689655,427.76573348264276,457.02082429501087,35.55294117647059,34.23185840707964,34.40461538461539,75.3103448275862,78.45382882882883,78.35441657579062,343.82608695652175,407.01476014760146,402.07142857142856,354873.0897820811,268722.21123558807,271513.69221642416,114.05,145.4927536231884,141.5126582278481,201.7391304347826,157.25850340136054,159.46336206896552,166.4,194.52,193.114,166.46153846153845,161.6968174204355,161.8956661316212
2022-05-01,,3.0,12635,,,,,,,420.39,412.15,395.55,387.29,1572.6206896551723,506.1303658081374,539.6750723065799,35.661764705882355,34.43141592920354,34.59230769230769,68.34482758620689,70.08022598870056,70.02516411378556,371.04347826086956,423.7527675276753,419.6292517006803,364429.32263865403,273480.6183825199,276427.55963774666,103.85,146.70344827586206,141.5090909090909,183.47826086956522,158.7054945054945,159.89748953974896,148.72,194.260162601626,192.05802707930368,152.77777777777777,159.06677524429966,158.801872074883
2022-06-01,,2.9,12002,,,,,,,423.98,415.6,396.9,388.18,1850.4568965517242,591.0618701007838,630.6740780911063,35.81862745098039,34.940265486725664,35.055128205128206,59.689655172413794,62.818693693693696,62.719738276990185,404.95652173913044,438.1845018450185,435.5850340136054,371499.6643349664,277376.7365596292,280426.529750115,100.7,135.33333333333334,131.25882352941176,165.2608695652174,159.6791208791209,159.94769874476987,139.0,184.40529531568228,182.20542635658916,144.37037037037038,153.81715210355986,153.4217054263566
2022-07-01,,2.9,9985,15325,26.333333333333332,-25.666666666666668,71514,16.380681818181817,-18.926136363636363,420.82,413.26,393.93,386.36,2217.696551724138,676.8683090705488,725.3325379609544,35.705882352941174,35.18761061946903,35.255384615384614,51.793103448275865,58.193258426966295,57.991294885745376,324.5652173913044,359.85239852398524,357.09183673469386,373226.6422853456,277469.08151626145,280571.8404685558,91.78947368421052,119.81290322580645,116.75287356321839,148.8695652173913,152.9449152542373,152.75555555555556,122.56,165.98224852071007,163.94172932330827,124.25925925925925,142.348031496063,141.61027190332325
