Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2019 Q1	Milwaukee, WI	12%	378	+1%
2019 Q1	Minneapolis, MN	10%	925	+6%
2019 Q1	Montgomery County, PA	9%	392	+24%
2019 Q1	Nashville, TN	16%	1,112	+36%
2019 Q1	New Brunswick, NJ	12%	825	-9%
2019 Q1	New York, NY	18%	2,272	-8%
2019 Q1	Newark, NJ	15%	637	-6%
2019 Q1	Oakland, CA	12%	572	-24%
2019 Q1	Orlando, FL	22%	2,151	+4%
2019 Q1	Philadelphia, PA	17%	811	+8%
2019 Q1	Phoenix, AZ	20%	4,487	-13%
2019 Q1	Portland, OR	10%	632	-17%
2019 Q1	Providence, RI	7%	169	-7%
2019 Q1	Riverside, CA	13%	1,565	-14%
2019 Q1	Sacramento, CA	13%	833	-12%
2019 Q1	San Diego, CA	17%	1,230	-17%
2019 Q1	San Francisco, CA	21%	429	-5%
2019 Q1	San Jose, CA	14%	374	-21%
2019 Q1	Seattle, WA	8%	602	-33%
2019 Q1	Tampa, FL	20%	2,776	-1%
2019 Q1	Virginia Beach, VA	9%	458	-16%
2019 Q1	Warren, MI	9%	670	-9%
2019 Q1	Washington, DC	9%	1,092	-8%
2019 Q1	West Palm Beach, FL	19%	1,365	-10%
2018 Q4	National	16%	58,511	+3%
2018 Q4	Anaheim, CA	18%	1,103	-14%
2018 Q4	Atlanta, GA	22%	5,465	+14%
2018 Q4	Baltimore, MD	13%	1,121	+12%
2018 Q4	Charlotte, NC	21%	1,994	+16%
2018 Q4	Chicago, IL	16%	2,930	+29%
2018 Q4	Cincinnati, OH	14%	1,006	+26%
2018 Q4	Cleveland, OH	16%	1,074	+30%
2018 Q4	Columbus, OH	13%	1,018	+6%
2018 Q4	Denver, CO	12%	1,406	-2%
2018 Q4	Fort Lauderdale, FL	19%	1,799	+2%
2018 Q4	Jacksonville, FL	20%	1,251	+4%
2018 Q4	Las Vegas, NV	20%	1,980	-1%
2018 Q4	Los Angeles, CA	17%	2,763	-20%
2018 Q4	Miami, FL	30%	2,382	-9%
2018 Q4	Milwaukee, WI	12%	520	-3%
2018 Q4	Minneapolis, MN	9%	1,328	+24%
2018 Q4	Montgomery County, PA	8%	487	+15%
2018 Q4	Nashville, TN	17%	1,325	+26%
2018 Q4	New Brunswick, NJ	10%	885	+13%
2018 Q4	New York, NY	18%	2,558	-1%
2018 Q4	Newark, NJ	13%	785	+26%
2018 Q4	Oakland, CA	11%	728	-13%
2018 Q4	Orlando, FL	22%	2,481	+17%
2018 Q4	Philadelphia, PA	16%	981	+13%
2018 Q4	Phoenix, AZ	21%	4,618	+0%
2018 Q4	Portland, OR	9%	692	-18%
2018 Q4	Providence, RI	6%	198	-23%
2018 Q4	Riverside, CA	13%	1,720	-8%
2018 Q4	Sacramento, CA	13%	963	-4%
2018 Q4	San Diego, CA	17%	1,350	-18%
2018 Q4	San Francisco, CA	20%	579	-1%
2018 Q4	San Jose, CA	13%	428	-14%
2018 Q4	Seattle, WA	8%	709	-20%
2018 Q4	Tampa, FL	20%	3,099	+14%
2018 Q4	Virginia Beach, VA	10%	545	+5%
2018 Q4	Warren, MI	8%	820	-6%
2018 Q4	Washington, DC	8%	1,200	-5%
2018 Q4	West Palm Beach, FL	17%	1,441	+1%
2018 Q3	National	14%	63,690	+9%
2018 Q3	Anaheim, CA	16%	1,239	-7%
2018 Q3	Atlanta, GA	20%	6,157	+31%
2018 Q3	Baltimore, MD	11%	1,112	+23%
2018 Q3	Charlotte, NC	19%	2,195	+18%
2018 Q3	Chicago, IL	12%	2,727	+17%
2018 Q3	Cincinnati, OH	14%	1,266	+43%
2018 Q3	Cleveland, OH	13%	1,077	+25%
2018 Q3	Columbus, OH	12%	1,136	+14%
2018 Q3	Denver, CO	11%	1,787	+9%
2018 Q3	Fort Lauderdale, FL	18%	1,774	+5%
2018 Q3	Jacksonville, FL	18%	1,362	+14%
2018 Q3	Las Vegas, NV	19%	2,218	+9%
2018 Q3	Los Angeles, CA	17%	3,290	-9%
2018 Q3	Miami, FL	31%	2,900	+12%
2018 Q3	Milwaukee, WI	9%	544	+13%
2018 Q3	Minneapolis, MN	8%	1,321	+19%
2018 Q3	Montgomery County, PA	6%	499	+14%
2018 Q3	Nashville, TN	14%	1,384	+3%
2018 Q3	New Brunswick, NJ	8%	904	-23%
2018 Q3	New York, NY	16%	2,702	+8%
2018 Q3	Newark, NJ	10%	751	+10%
2018 Q3	Oakland, CA	11%	855	-8%
2018 Q3	Orlando, FL	21%	2,651	+25%
2018 Q3	Philadelphia, PA	13%	906	+12%
2018 Q3	Phoenix, AZ	19%	4,896	+11%
2018 Q3	Portland, OR	9%	967	+0%
2018 Q3	Providence, RI	6%	239	-7%
2018 Q3	Riverside, CA	12%	1,823	-1%
2018 Q3	Sacramento, CA	12%	1,100	-3%
2018 Q3	San Diego, CA	17%	1,603	-10%
2018 Q3	San Francisco, CA	18%	504	-6%
2018 Q3	San Jose, CA	13%	519	-12%
2018 Q3	Seattle, WA	9%	1,016	-10%
2018 Q3	Tampa, FL	18%	3,190	+12%
2018 Q3	Virginia Beach, VA	8%	525	-1%
2018 Q3	Warren, MI	7%	928	+3%
2018 Q3	Washington, DC	7%	1,325	+9%
2018 Q3	West Palm Beach, FL	16%	1,433	+10%
2018 Q2	National	14%	67,474	+11%
2018 Q2	Anaheim, CA	17%	1,465	+1%
2018 Q2	Atlanta, GA	19%	5,777	+33%
2018 Q2	Baltimore, MD	11%	1,217	+16%
2018 Q2	Charlotte, NC	17%	2,033	+24%
2018 Q2	Chicago, IL	11%	2,627	+4%
2018 Q2	Cincinnati, OH	12%	1,048	+17%
2018 Q2	Cleveland, OH	13%	1,027	+33%
2018 Q2	Columbus, OH	12%	1,026	+11%
2018 Q2	Denver, CO	11%	1,805	+11%
2018 Q2	Fort Lauderdale, FL	18%	1,995	-3%
2018 Q2	Jacksonville, FL	17%	1,316	+4%
2018 Q2	Las Vegas, NV	18%	2,344	+12%
2018 Q2	Los Angeles, CA	18%	3,687	-3%
2018 Q2	Miami, FL	32%	3,316	+11%
2018 Q2	Milwaukee, WI	9%	502	+5%
2018 Q2	Minneapolis, MN	8%	1,248	+8%
2018 Q2	Montgomery County, PA	7%	491	+21%
2018 Q2	Nashville, TN	13%	1,198	+0%
2018 Q2	New Brunswick, NJ	10%	940	+11%
2018 Q2	New York, NY	19%	2,657	+2%
2018 Q2	Newark, NJ	12%	758	+30%
2018 Q2	Oakland, CA	12%	1,053	+1%
2018 Q2	Orlando, FL	20%	2,657	+20%
2018 Q2	Philadelphia, PA	14%	1,021	+24%
2018 Q2	Phoenix, AZ	19%	6,649	+40%
2018 Q2	Portland, OR	9%	981	-3%
2018 Q2	Providence, RI	6%	231	-2%
2018 Q2	Riverside, CA	13%	2,156	+0%
2018 Q2	Sacramento, CA	12%	1,214	+1%
2018 Q2	San Diego, CA	18%	1,854	-3%
2018 Q2	San Francisco, CA	20%	697	+4%
2018 Q2	San Jose, CA	13%	667	+2%
2018 Q2	Seattle, WA	9%	1,136	-3%
2018 Q2	Tampa, FL	17%	3,286	+8%
2018 Q2	Virginia Beach, VA	7%	519	-4%
2018 Q2	Warren, MI	8%	931	+11%
2018 Q2	Washington, DC	7%	1,460	+3%
2018 Q2	West Palm Beach, FL	16%	1,730	-1%
2018 Q1	National	17%	54,935	+16%
2018 Q1	Anaheim, CA	17%	1,117	+9%
2018 Q1	Atlanta, GA	23%	4,914	+57%
2018 Q1	Baltimore, MD	13%	891	+9%
2018 Q1	Charlotte, NC	19%	1,537	+24%
2018 Q1	Chicago, IL	15%	2,204	+26%
2018 Q1	Cincinnati, OH	15%	822	+16%
2018 Q1	Cleveland, OH	15%	740	+19%
2018 Q1	Columbus, OH	16%	849	+20%
2018 Q1	Denver, CO	14%	1,445	+17%
2018 Q1	Fort Lauderdale, FL	20%	1,753	-9%
2018 Q1	Jacksonville, FL	18%	987	+14%
2018 Q1	Las Vegas, NV	21%	2,127	+30%
2018 Q1	Los Angeles, CA	20%	3,142	+10%
2018 Q1	Miami, FL	33%	2,613	+7%
2018 Q1	Milwaukee, WI	11%	376	+16%
2018 Q1	Minneapolis, MN	10%	876	+1%
2018 Q1	Montgomery County, PA	8%	317	-11%
2018 Q1	Nashville, TN	16%	819	-9%
2018 Q1	New Brunswick, NJ	13%	908	+3%
2018 Q1	New York, NY	19%	2,468	+6%
2018 Q1	Newark, NJ	14%	679	+15%
2018 Q1	Oakland, CA	14%	755	+15%
2018 Q1	Orlando, FL	21%	2,071	+23%
2018 Q1	Philadelphia, PA	15%	751	-4%
2018 Q1	Phoenix, AZ	21%	5,160	+31%
2018 Q1	Portland, OR	11%	757	+8%
2018 Q1	Providence, RI	7%	181	+5%
2018 Q1	Riverside, CA	14%	1,825	+7%
2018 Q1	Sacramento, CA	14%	946	+15%
2018 Q1	San Diego, CA	19%	1,490	+17%
2018 Q1	San Francisco, CA	21%	452	+2%
2018 Q1	San Jose, CA	15%	474	+6%
2018 Q1	Seattle, WA	11%	892	+14%
2018 Q1	Tampa, FL	19%	2,801	+12%
2018 Q1	Virginia Beach, VA	11%	543	+16%
2018 Q1	Warren, MI	9%	739	-1%
2018 Q1	Washington, DC	9%	1,184	+13%
2018 Q1	West Palm Beach, FL	18%	1,516	+7%
2017 Q4	National	15%	56,772	+23%
2017 Q4	Anaheim, CA	18%	1,278	+31%
2017 Q4	Atlanta, GA	20%	4,809	+49%
2017 Q4	Baltimore, MD	11%	1,005	+28%
2017 Q4	Charlotte, NC	19%	1,717	+39%
2017 Q4	Chicago, IL	12%	2,273	+33%
2017 Q4	Cincinnati, OH	12%	801	+5%
2017 Q4	Cleveland, OH	13%	826	+48%
2017 Q4	Columbus, OH	13%	964	+36%
2017 Q4	Denver, CO	11%	1,438	+4%
2017 Q4	Fort Lauderdale, FL	19%	1,759	+2%
2017 Q4	Jacksonville, FL	19%	1,203	+44%
2017 Q4	Las Vegas, NV	18%	2,002	+47%
2017 Q4	Los Angeles, CA	18%	3,445	+17%
2017 Q4	Miami, FL	32%	2,618	-3%
2017 Q4	Milwaukee, WI	11%	537	+28%
2017 Q4	Minneapolis, MN	8%	1,075	+12%
2017 Q4	Montgomery County, PA	7%	425	+20%
2017 Q4	Nashville, TN	14%	1,050	+6%
2017 Q4	New Brunswick, NJ	9%	786	+0%
2017 Q4	New York, NY	17%	2,584	+18%
2017 Q4	Newark, NJ	10%	621	+34%
2017 Q4	Oakland, CA	11%	840	+24%
2017 Q4	Orlando, FL	21%	2,125	+26%
2017 Q4	Philadelphia, PA	14%	871	+24%
2017 Q4	Phoenix, AZ	20%	4,630	+34%
2017 Q4	Portland, OR	9%	841	+4%
2017 Q4	Providence, RI	7%	256	+51%
2017 Q4	Riverside, CA	13%	1,879	+26%
2017 Q4	Sacramento, CA	12%	1,007	+12%
2017 Q4	San Diego, CA	18%	1,638	+20%
2017 Q4	San Francisco, CA	19%	584	+25%
2017 Q4	San Jose, CA	13%	500	+17%
2017 Q4	Seattle, WA	8%	891	+4%
2017 Q4	Tampa, FL	18%	2,728	+21%
2017 Q4	Virginia Beach, VA	9%	520	+18%
2017 Q4	Warren, MI	8%	868	+32%
2017 Q4	Washington, DC	8%	1,265	+31%
2017 Q4	West Palm Beach, FL	17%	1,422	+11%
2017 Q3	National	13%	58,335	+17%
2017 Q3	Anaheim, CA	15%	1,330	+10%
2017 Q3	Atlanta, GA	17%	4,705	+40%
2017 Q3	Baltimore, MD	10%	902	+22%
2017 Q3	Charlotte, NC	17%	1,863	+38%
2017 Q3	Chicago, IL	10%	2,326	+8%
2017 Q3	Cincinnati, OH	11%	887	+11%
2017 Q3	Cleveland, OH	11%	865	+46%
2017 Q3	Columbus, OH	11%	993	+42%
2017 Q3	Denver, CO	10%	1,643	+10%
2017 Q3	Fort Lauderdale, FL	18%	1,686	-8%
2017 Q3	Jacksonville, FL	17%	1,196	+37%
2017 Q3	Las Vegas, NV	17%	2,041	+46%
2017 Q3	Los Angeles, CA	17%	3,625	+15%
2017 Q3	Miami, FL	32%	2,579	-1%
2017 Q3	Milwaukee, WI	8%	481	+3%
2017 Q3	Minneapolis, MN	7%	1,111	+0%
2017 Q3	Montgomery County, PA	6%	439	+24%
2017 Q3	Nashville, TN	15%	1,346	+17%
2017 Q3	New Brunswick, NJ	11%	1,175	+61%
2017 Q3	New York, NY	15%	2,506	+2%
2017 Q3	Newark, NJ	9%	681	+44%
2017 Q3	Oakland, CA	11%	928	+5%
2017 Q3	Orlando, FL	19%	2,127	+12%
2017 Q3	Philadelphia, PA	12%	810	+12%
2017 Q3	Phoenix, AZ	18%	4,394	+23%
2017 Q3	Portland, OR	9%	965	-2%
2017 Q3	Providence, RI	6%	257	+14%
2017 Q3	Riverside, CA	11%	1,847	+23%
2017 Q3	Sacramento, CA	12%	1,131	+11%
2017 Q3	San Diego, CA	17%	1,785	+16%
2017 Q3	San Francisco, CA	18%	537	+0%
2017 Q3	San Jose, CA	12%	590	+27%
2017 Q3	Seattle, WA	8%	1,125	+13%
2017 Q3	Tampa, FL	17%	2,850	+15%
2017 Q3	Virginia Beach, VA	8%	530	+8%
2017 Q3	Warren, MI	7%	904	+24%
2017 Q3	Washington, DC	7%	1,219	+18%
2017 Q3	West Palm Beach, FL	16%	1,300	-12%
2017 Q2	National	13%	60,746	+23%
2017 Q2	Anaheim, CA	16%	1,453	+19%
2017 Q2	Atlanta, GA	15%	4,359	+30%
2017 Q2	Baltimore, MD	10%	1,050	+30%
2017 Q2	Charlotte, NC	14%	1,635	+30%
2017 Q2	Chicago, IL	10%	2,536	+37%
2017 Q2	Cincinnati, OH	11%	892	+21%
2017 Q2	Cleveland, OH	10%	771	+25%
2017 Q2	Columbus, OH	11%	926	+39%
2017 Q2	Denver, CO	10%	1,629	+6%
2017 Q2	Fort Lauderdale, FL	19%	2,051	+10%
2017 Q2	Jacksonville, FL	17%	1,266	+55%
2017 Q2	Las Vegas, NV	16%	2,090	+40%
2017 Q2	Los Angeles, CA	17%	3,816	+23%
2017 Q2	Miami, FL	31%	2,983	+17%
2017 Q2	Milwaukee, WI	8%	480	+17%
2017 Q2	Minneapolis, MN	7%	1,157	+9%
2017 Q2	Montgomery County, PA	5%	406	+11%
2017 Q2	Nashville, TN	13%	1,195	+16%
2017 Q2	New Brunswick, NJ	10%	849	+44%
2017 Q2	New York, NY	19%	2,601	+18%
2017 Q2	Newark, NJ	10%	583	+11%
2017 Q2	Oakland, CA	12%	1,042	+26%
2017 Q2	Orlando, FL	18%	2,210	+23%
2017 Q2	Philadelphia, PA	13%	826	+21%
2017 Q2	Phoenix, AZ	16%	4,742	+28%
2017 Q2	Portland, OR	9%	1,007	+5%
2017 Q2	Providence, RI	6%	235	+20%
2017 Q2	Riverside, CA	12%	2,153	+21%
2017 Q2	Sacramento, CA	12%	1,205	+14%
2017 Q2	San Diego, CA	17%	1,921	+22%
2017 Q2	San Francisco, CA	20%	667	+13%
2017 Q2	San Jose, CA	13%	657	+22%
2017 Q2	Seattle, WA	8%	1,172	+29%
2017 Q2	Tampa, FL	16%	3,051	+29%
2017 Q2	Virginia Beach, VA	8%	543	+22%
2017 Q2	Warren, MI	7%	838	+19%
2017 Q2	Washington, DC	7%	1,415	+23%
2017 Q2	West Palm Beach, FL	16%	1,745	+13%
2017 Q1	National	15%	47,348	+21%
2017 Q1	Anaheim, CA	15%	1,026	+8%
2017 Q1	Atlanta, GA	17%	3,125	+24%
2017 Q1	Baltimore, MD	12%	816	+17%
2017 Q1	Charlotte, NC	16%	1,242	+37%
2017 Q1	Chicago, IL	12%	1,750	+34%
2017 Q1	Cincinnati, OH	13%	706	+28%
2017 Q1	Cleveland, OH	13%	621	+43%
2017 Q1	Columbus, OH	13%	705	+57%
2017 Q1	Denver, CO	11%	1,235	+19%
2017 Q1	Fort Lauderdale, FL	22%	1,922	+22%
2017 Q1	Jacksonville, FL	18%	868	+40%
2017 Q1	Las Vegas, NV	17%	1,633	+48%
2017 Q1	Los Angeles, CA	17%	2,851	+17%
2017 Q1	Miami, FL	33%	2,435	-3%
2017 Q1	Milwaukee, WI	11%	324	+9%
2017 Q1	Minneapolis, MN	9%	864	+14%
2017 Q1	Montgomery County, PA	8%	355	+38%
2017 Q1	Nashville, TN	14%	901	+27%
2017 Q1	New Brunswick, NJ	12%	885	+48%
2017 Q1	New York, NY	19%	2,333	+10%
2017 Q1	Newark, NJ	13%	593	+38%
2017 Q1	Oakland, CA	12%	658	+13%
2017 Q1	Orlando, FL	18%	1,688	+16%
2017 Q1	Philadelphia, PA	16%	779	+26%
2017 Q1	Phoenix, AZ	17%	3,942	+25%
2017 Q1	Portland, OR	10%	699	+3%
2017 Q1	Providence, RI	7%	173	+30%
2017 Q1	Riverside, CA	13%	1,700	+24%
2017 Q1	Sacramento, CA	12%	823	+13%
2017 Q1	San Diego, CA	16%	1,271	+9%
2017 Q1	San Francisco, CA	20%	441	+4%
2017 Q1	San Jose, CA	14%	447	+26%
2017 Q1	Seattle, WA	9%	784	+19%
2017 Q1	Tampa, FL	18%	2,492	+28%
2017 Q1	Virginia Beach, VA	11%	468	+26%
2017 Q1	Warren, MI	9%	747	+17%
2017 Q1	Washington, DC	8%	1,052	+32%
2017 Q1	West Palm Beach, FL	18%	1,421	+4%
2016 Q4	National	13%	46,100	+8%
2016 Q4	Anaheim, CA	13%	979	+0%
2016 Q4	Atlanta, GA	15%	3,238	+23%
2016 Q4	Baltimore, MD	10%	783	-1%
2016 Q4	Charlotte, NC	14%	1,235	+27%
2016 Q4	Chicago, IL	11%	1,704	+5%
2016 Q4	Cincinnati, OH	11%	764	+23%
2016 Q4	Cleveland, OH	10%	559	+11%
2016 Q4	Columbus, OH	10%	708	+18%
2016 Q4	Denver, CO	10%	1,384	+5%
2016 Q4	Fort Lauderdale, FL	19%	1,717	-4%
2016 Q4	Jacksonville, FL	16%	836	+37%
2016 Q4	Las Vegas, NV	15%	1,364	+22%
2016 Q4	Los Angeles, CA	16%	2,952	+12%
2016 Q4	Miami, FL	33%	2,706	-6%
2016 Q4	Milwaukee, WI	10%	421	+16%
2016 Q4	Minneapolis, MN	7%	962	-2%
2016 Q4	Montgomery County, PA	6%	354	+27%
2016 Q4	Nashville, TN	12%	993	+12%
2016 Q4	New Brunswick, NJ	9%	788	+21%
2016 Q4	New York, NY	16%	2,192	+2%
2016 Q4	Newark, NJ	9%	465	-12%
2016 Q4	Oakland, CA	10%	680	+13%
2016 Q4	Orlando, FL	19%	1,684	+5%
2016 Q4	Philadelphia, PA	13%	705	+14%
2016 Q4	Phoenix, AZ	17%	3,457	+15%
2016 Q4	Portland, OR	8%	805	+12%
2016 Q4	Providence, RI	5%	170	-8%
2016 Q4	Riverside, CA	11%	1,492	+3%
2016 Q4	Sacramento, CA	11%	896	+13%
2016 Q4	San Diego, CA	15%	1,368	+5%
2016 Q4	San Francisco, CA	16%	469	-19%
2016 Q4	San Jose, CA	11%	426	-7%
2016 Q4	Seattle, WA	8%	856	+15%
2016 Q4	Tampa, FL	16%	2,257	+11%
2016 Q4	Virginia Beach, VA	9%	442	+8%
2016 Q4	Warren, MI	7%	660	-1%
2016 Q4	Washington, DC	7%	968	+3%
2016 Q4	West Palm Beach, FL	17%	1,284	-5%
2016 Q3	National	12%	49,990	+7%
2016 Q3	Anaheim, CA	14%	1,213	+5%
2016 Q3	Atlanta, GA	13%	3,368	+17%
2016 Q3	Baltimore, MD	8%	738	+9%
2016 Q3	Charlotte, NC	13%	1,354	+12%
2016 Q3	Chicago, IL	10%	2,151	+6%
2016 Q3	Cincinnati, OH	10%	799	+25%
2016 Q3	Cleveland, OH	9%	591	+10%
2016 Q3	Columbus, OH	8%	697	+8%
2016 Q3	Denver, CO	9%	1,497	-12%
2016 Q3	Fort Lauderdale, FL	19%	1,832	+5%
2016 Q3	Jacksonville, FL	14%	874	+8%
2016 Q3	Las Vegas, NV	14%	1,402	+24%
2016 Q3	Los Angeles, CA	15%	3,151	+5%
2016 Q3	Miami, FL	31%	2,616	-5%
2016 Q3	Milwaukee, WI	8%	469	+6%
2016 Q3	Minneapolis, MN	6%	1,115	+8%
2016 Q3	Montgomery County, PA	5%	355	+12%
2016 Q3	Nashville, TN	12%	1,149	+8%
2016 Q3	New Brunswick, NJ	8%	730	+3%
2016 Q3	New York, NY	15%	2,448	+12%
2016 Q3	Newark, NJ	8%	472	+9%
2016 Q3	Oakland, CA	11%	884	+8%
2016 Q3	Orlando, FL	17%	1,902	+14%
2016 Q3	Philadelphia, PA	11%	725	+9%
2016 Q3	Phoenix, AZ	16%	3,574	+12%
2016 Q3	Portland, OR	9%	980	+4%
2016 Q3	Providence, RI	6%	225	+39%
2016 Q3	Riverside, CA	10%	1,502	+9%
2016 Q3	Sacramento, CA	11%	1,020	+5%
2016 Q3	San Diego, CA	15%	1,537	+2%
2016 Q3	San Francisco, CA	18%	537	+4%
2016 Q3	San Jose, CA	11%	464	-11%
2016 Q3	Seattle, WA	7%	1,000	+9%
2016 Q3	Tampa, FL	16%	2,470	+21%
2016 Q3	Virginia Beach, VA	8%	493	+21%
2016 Q3	Warren, MI	6%	730	-14%
2016 Q3	Washington, DC	6%	1,031	+3%
2016 Q3	West Palm Beach, FL	16%	1,469	+1%
2016 Q2	National	12%	49,215	+8%
2016 Q2	Anaheim, CA	14%	1,223	+4%
2016 Q2	Atlanta, GA	13%	3,346	+18%
2016 Q2	Baltimore, MD	9%	807	+20%
2016 Q2	Charlotte, NC	12%	1,257	+15%
2016 Q2	Chicago, IL	9%	1,846	+24%
2016 Q2	Cincinnati, OH	10%	736	+28%
2016 Q2	Cleveland, OH	9%	616	+29%
2016 Q2	Columbus, OH	9%	668	+27%
2016 Q2	Denver, CO	10%	1,531	-6%
2016 Q2	Fort Lauderdale, FL	18%	1,872	-3%
2016 Q2	Jacksonville, FL	13%	818	+13%
2016 Q2	Las Vegas, NV	15%	1,489	+14%
2016 Q2	Los Angeles, CA	15%	3,113	+3%
2016 Q2	Miami, FL	30%	2,541	-15%
2016 Q2	Milwaukee, WI	8%	411	+27%
2016 Q2	Minneapolis, MN	7%	1,060	+11%
2016 Q2	Montgomery County, PA	6%	365	+25%
2016 Q2	Nashville, TN	11%	1,029	+8%
2016 Q2	New Brunswick, NJ	8%	590	-10%
2016 Q2	New York, NY	18%	2,195	+15%
2016 Q2	Newark, NJ	10%	527	+24%
2016 Q2	Oakland, CA	10%	824	+3%
2016 Q2	Orlando, FL	17%	1,803	+18%
2016 Q2	Philadelphia, PA	11%	685	+30%
2016 Q2	Phoenix, AZ	14%	3,704	+10%
2016 Q2	Portland, OR	9%	956	+14%
2016 Q2	Providence, RI	6%	196	+13%
2016 Q2	Riverside, CA	12%	1,784	+11%
2016 Q2	Sacramento, CA	11%	1,059	+22%
2016 Q2	San Diego, CA	15%	1,578	+4%
2016 Q2	San Francisco, CA	19%	591	-12%
2016 Q2	San Jose, CA	11%	539	-6%
2016 Q2	Seattle, WA	7%	911	+0%
2016 Q2	Tampa, FL	15%	2,373	+17%
2016 Q2	Virginia Beach, VA	7%	444	-3%
2016 Q2	Warren, MI	7%	705	-13%
2016 Q2	Washington, DC	7%	1,150	+18%
2016 Q2	West Palm Beach, FL	16%	1,538	-3%
2016 Q1	National	14%	39,127	+11%
2016 Q1	Anaheim, CA	16%	954	+18%
2016 Q1	Atlanta, GA	16%	2,519	+15%
2016 Q1	Baltimore, MD	12%	698	+35%
2016 Q1	Charlotte, NC	14%	906	+14%
2016 Q1	Chicago, IL	11%	1,302	+24%
2016 Q1	Cincinnati, OH	13%	553	+15%
2016 Q1	Cleveland, OH	11%	435	+25%
2016 Q1	Columbus, OH	10%	448	+25%
2016 Q1	Denver, CO	10%	1,039	-2%
2016 Q1	Fort Lauderdale, FL	21%	1,570	+4%
2016 Q1	Jacksonville, FL	15%	621	+4%
2016 Q1	Las Vegas, NV	15%	1,103	+3%
2016 Q1	Los Angeles, CA	16%	2,432	+7%
2016 Q1	Miami, FL	36%	2,519	+1%
2016 Q1	Milwaukee, WI	11%	298	+25%
2016 Q1	Minneapolis, MN	9%	760	+15%
2016 Q1	Montgomery County, PA	7%	258	+25%
2016 Q1	Nashville, TN	12%	709	-11%
2016 Q1	New Brunswick, NJ	10%	598	+22%
2016 Q1	New York, NY	18%	2,117	+12%
2016 Q1	Newark, NJ	11%	430	+5%
2016 Q1	Oakland, CA	11%	581	-1%
2016 Q1	Orlando, FL	19%	1,460	+19%
2016 Q1	Philadelphia, PA	15%	620	+30%
2016 Q1	Phoenix, AZ	17%	3,146	+23%
2016 Q1	Portland, OR	9%	678	+21%
2016 Q1	Providence, RI	7%	133	+0%
2016 Q1	Riverside, CA	12%	1,375	+9%
2016 Q1	Sacramento, CA	12%	730	+11%
2016 Q1	San Diego, CA	16%	1,167	+5%
2016 Q1	San Francisco, CA	20%	426	+10%
2016 Q1	San Jose, CA	12%	354	+1%
2016 Q1	Seattle, WA	8%	657	+12%
2016 Q1	Tampa, FL	17%	1,950	+22%
2016 Q1	Virginia Beach, VA	10%	370	+11%
2016 Q1	Warren, MI	9%	637	-5%
2016 Q1	Washington, DC	8%	796	+5%
2016 Q1	West Palm Beach, FL	20%	1,369	+11%
2015 Q4	National	13%	42,748	+9%
2015 Q4	Anaheim, CA	15%	977	+13%
2015 Q4	Atlanta, GA	14%	2,635	+4%
2015 Q4	Baltimore, MD	11%	791	+23%
2015 Q4	Charlotte, NC	14%	974	+1%
2015 Q4	Chicago, IL	11%	1,627	+2%
2015 Q4	Cincinnati, OH	11%	623	+27%
2015 Q4	Cleveland, OH	10%	505	+19%
2015 Q4	Columbus, OH	10%	598	+30%
2015 Q4	Denver, CO	10%	1,316	+5%
2015 Q4	Fort Lauderdale, FL	21%	1,792	+4%
2015 Q4	Jacksonville, FL	14%	611	-11%
2015 Q4	Las Vegas, NV	15%	1,118	+5%
2015 Q4	Los Angeles, CA	15%	2,645	+5%
2015 Q4	Miami, FL	36%	2,872	-1%
2015 Q4	Milwaukee, WI	10%	363	+11%
2015 Q4	Minneapolis, MN	8%	980	+3%
2015 Q4	Montgomery County, PA	5%	278	-13%
2015 Q4	Nashville, TN	12%	886	+18%
2015 Q4	New Brunswick, NJ	9%	649	+12%
2015 Q4	New York, NY	16%	2,151	+10%
2015 Q4	Newark, NJ	10%	527	+13%
2015 Q4	Oakland, CA	9%	600	+2%
2015 Q4	Orlando, FL	19%	1,607	+17%
2015 Q4	Philadelphia, PA	13%	618	+35%
2015 Q4	Phoenix, AZ	17%	3,008	+26%
2015 Q4	Portland, OR	8%	717	+19%
2015 Q4	Providence, RI	7%	184	-8%
2015 Q4	Riverside, CA	12%	1,452	+13%
2015 Q4	Sacramento, CA	11%	793	+21%
2015 Q4	San Diego, CA	16%	1,300	+12%
2015 Q4	San Francisco, CA	20%	581	+18%
2015 Q4	San Jose, CA	12%	457	+4%
2015 Q4	Seattle, WA	8%	744	+11%
2015 Q4	Tampa, FL	17%	2,027	+23%
2015 Q4	Virginia Beach, VA	10%	408	+6%
2015 Q4	Warren, MI	7%	664	-5%
2015 Q4	Washington, DC	8%	943	+9%
2015 Q4	West Palm Beach, FL	18%	1,348	-6%
2015 Q3	National	11%	46,532	+11%
2015 Q3	Anaheim, CA	14%	1,154	+15%
2015 Q3	Atlanta, GA	12%	2,879	-2%
2015 Q3	Baltimore, MD	8%	680	+20%
2015 Q3	Charlotte, NC	13%	1,205	+13%
2015 Q3	Chicago, IL	10%	2,037	+26%
2015 Q3	Cincinnati, OH	9%	641	+0%
2015 Q3	Cleveland, OH	8%	539	+9%
2015 Q3	Columbus, OH	8%	643	+15%
2015 Q3	Denver, CO	10%	1,702	+10%
2015 Q3	Fort Lauderdale, FL	19%	1,739	-1%
