Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2024 Q3	Fort Lauderdale, FL	18%	1,313	-22%
2024 Q3	Jacksonville, FL	19%	1,041	-12%
2024 Q3	Las Vegas, NV	24%	1,814	+32%
2024 Q3	Los Angeles, CA	21%	2,907	+8%
2024 Q3	Miami, FL	31%	2,334	-8%
2024 Q3	Milwaukee, WI	14%	629	-3%
2024 Q3	Minneapolis, MN	10%	1,237	+1%
2024 Q3	Montgomery County, PA	8%	478	-17%
2024 Q3	Nashville, TN	17%	1,131	-7%
2024 Q3	New Brunswick, NJ	12%	997	+0%
2024 Q3	New York, NY	17%	2,470	+3%
2024 Q3	Newark, NJ	10%	605	-22%
2024 Q3	Oakland, CA	16%	881	+3%
2024 Q3	Orlando, FL	23%	2,056	-6%
2024 Q3	Philadelphia, PA	16%	928	+0%
2024 Q3	Phoenix, AZ	19%	2,729	-1%
2024 Q3	Portland, OR	13%	677	+9%
2024 Q3	Providence, RI	9%	254	+5%
2024 Q3	Riverside, CA	17%	1,650	+5%
2024 Q3	Sacramento, CA	20%	1,250	+13%
2024 Q3	San Diego, CA	23%	1,529	+7%
2024 Q3	San Francisco, CA	21%	528	+13%
2024 Q3	San Jose, CA	17%	584	+20%
2024 Q3	Seattle, WA	10%	649	+19%
2024 Q3	Tampa, FL	18%	2,144	-8%
2024 Q3	Virginia Beach, VA	11%	733	-11%
2024 Q3	Warren, MI	9%	767	-13%
2024 Q3	Washington, DC	10%	1,292	+12%
2024 Q3	West Palm Beach, FL	18%	1,142	-16%
2024 Q2	National	17%	56,594	+3%
2024 Q2	Anaheim, CA	23%	1,376	+15%
2024 Q2	Atlanta, GA	19%	3,904	-4%
2024 Q2	Baltimore, MD	17%	1,434	-10%
2024 Q2	Charlotte, NC	18%	1,612	+5%
2024 Q2	Chicago, IL	12%	2,091	-6%
2024 Q2	Cincinnati, OH	17%	990	-11%
2024 Q2	Cleveland, OH	21%	1,291	+6%
2024 Q2	Columbus, OH	16%	1,005	+3%
2024 Q2	Denver, CO	14%	1,422	+7%
2024 Q2	Fort Lauderdale, FL	19%	1,524	-16%
2024 Q2	Jacksonville, FL	20%	1,272	+0%
2024 Q2	Las Vegas, NV	23%	1,937	+26%
2024 Q2	Los Angeles, CA	23%	3,113	+18%
2024 Q2	Miami, FL	30%	2,384	-12%
2024 Q2	Milwaukee, WI	17%	730	+15%
2024 Q2	Minneapolis, MN	11%	1,200	+5%
2024 Q2	Montgomery County, PA	10%	517	+7%
2024 Q2	Nashville, TN	17%	1,174	-2%
2024 Q2	New Brunswick, NJ	13%	895	+0%
2024 Q2	New York, NY	20%	2,314	+8%
2024 Q2	Newark, NJ	13%	632	-5%
2024 Q2	Oakland, CA	18%	1,049	+22%
2024 Q2	Orlando, FL	23%	2,294	+2%
2024 Q2	Philadelphia, PA	17%	975	-3%
2024 Q2	Phoenix, AZ	21%	3,629	+10%
2024 Q2	Portland, OR	13%	750	+16%
2024 Q2	Providence, RI	9%	218	-16%
2024 Q2	Riverside, CA	20%	1,880	+4%
2024 Q2	Sacramento, CA	20%	1,196	+17%
2024 Q2	San Diego, CA	24%	1,589	+6%
2024 Q2	San Francisco, CA	22%	603	+18%
2024 Q2	San Jose, CA	17%	663	+26%
2024 Q2	Seattle, WA	10%	663	-3%
2024 Q2	Tampa, FL	18%	2,582	-3%
2024 Q2	Virginia Beach, VA	12%	820	+2%
2024 Q2	Warren, MI	10%	805	+2%
2024 Q2	Washington, DC	9%	1,361	+10%
2024 Q2	West Palm Beach, FL	19%	1,572	-2%
2024 Q1	National	20%	47,201	+3%
2024 Q1	Anaheim, CA	23%	1,018	+11%
2024 Q1	Atlanta, GA	22%	3,463	+5%
2024 Q1	Baltimore, MD	21%	1,376	-21%
2024 Q1	Charlotte, NC	21%	1,372	+4%
2024 Q1	Chicago, IL	14%	1,700	-12%
2024 Q1	Cincinnati, OH	19%	769	-25%
2024 Q1	Cleveland, OH	26%	1,138	+3%
2024 Q1	Columbus, OH	19%	853	-6%
2024 Q1	Denver, CO	15%	1,048	+8%
2024 Q1	Fort Lauderdale, FL	21%	1,283	-4%
2024 Q1	Jacksonville, FL	26%	1,093	-8%
2024 Q1	Las Vegas, NV	24%	1,664	+19%
2024 Q1	Los Angeles, CA	21%	2,255	+6%
2024 Q1	Miami, FL	33%	2,072	-2%
2024 Q1	Milwaukee, WI	20%	533	-1%
2024 Q1	Minneapolis, MN	13%	981	+21%
2024 Q1	Montgomery County, PA	11%	396	+3%
2024 Q1	Nashville, TN	19%	890	+6%
2024 Q1	New Brunswick, NJ	14%	787	-12%
2024 Q1	New York, NY	21%	2,191	+2%
2024 Q1	Newark, NJ	16%	638	-4%
2024 Q1	Oakland, CA	17%	648	+18%
2024 Q1	Orlando, FL	27%	2,089	+9%
2024 Q1	Philadelphia, PA	20%	849	-5%
2024 Q1	Phoenix, AZ	22%	3,164	+10%
2024 Q1	Portland, OR	14%	464	+7%
2024 Q1	Providence, RI	11%	207	-2%
2024 Q1	Riverside, CA	21%	1,567	+12%
2024 Q1	Sacramento, CA	20%	864	+21%
2024 Q1	San Diego, CA	24%	1,312	+15%
2024 Q1	San Francisco, CA	24%	441	+19%
2024 Q1	San Jose, CA	17%	404	+27%
2024 Q1	Seattle, WA	12%	506	-5%
2024 Q1	Tampa, FL	21%	2,359	+9%
2024 Q1	Virginia Beach, VA	13%	647	-7%
2024 Q1	Warren, MI	12%	727	+5%
2024 Q1	Washington, DC	12%	1,214	+12%
2024 Q1	West Palm Beach, FL	21%	1,263	+4%
2023 Q4	National	20%	50,420	-6%
2023 Q4	Anaheim, CA	25%	1,110	+15%
2023 Q4	Atlanta, GA	23%	3,770	-21%
2023 Q4	Baltimore, MD	20%	1,463	-19%
2023 Q4	Charlotte, NC	23%	1,530	-13%
2023 Q4	Chicago, IL	16%	2,429	+21%
2023 Q4	Cincinnati, OH	20%	902	-27%
2023 Q4	Cleveland, OH	24%	1,268	+0%
2023 Q4	Columbus, OH	18%	982	-16%
2023 Q4	Denver, CO	16%	1,140	-10%
2023 Q4	Fort Lauderdale, FL	21%	1,469	-12%
2023 Q4	Jacksonville, FL	27%	1,172	-18%
2023 Q4	Las Vegas, NV	24%	1,429	+2%
2023 Q4	Los Angeles, CA	22%	2,469	+6%
2023 Q4	Miami, FL	35%	2,401	-9%
2023 Q4	Milwaukee, WI	16%	615	-16%
2023 Q4	Minneapolis, MN	12%	1,190	+0%
2023 Q4	Montgomery County, PA	11%	533	-4%
2023 Q4	Nashville, TN	19%	1,007	-14%
2023 Q4	New Brunswick, NJ	14%	979	-11%
2023 Q4	New York, NY	19%	2,203	-13%
2023 Q4	Newark, NJ	13%	681	-16%
2023 Q4	Oakland, CA	16%	715	+2%
2023 Q4	Orlando, FL	27%	2,118	-7%
2023 Q4	Philadelphia, PA	19%	909	-14%
2023 Q4	Phoenix, AZ	23%	2,738	-8%
2023 Q4	Portland, OR	15%	539	-6%
2023 Q4	Providence, RI	11%	231	-22%
2023 Q4	Riverside, CA	22%	1,624	+24%
2023 Q4	Sacramento, CA	22%	955	+12%
