month_date_yyyymm,postal_code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
201607,62262,"mulberry grove, il",150500.0,,,12,,,52.0,,,4,,,0,,,0.0,,,4.0,,,0.2353,,,1.0,,,73.0,,,1760.0,,,152408.0,,,13,,,0.0833,,,
201607,22656,"stephenson, va",315990.0,,,40,,,45.0,,,12,,,0,,,0.0,,,0.0,,,0.0,,,1.0,,,123.0,,,2549.0,,,319191.0,,,41,,,0.025,,,
201607,44240,"kent, oh",145000.0,,,109,,,47.0,,,56,,,0,,,0.0,,,32.0,,,0.2,,,22.0,,,91.0,,,1798.0,,,165737.0,,,130,,,0.2018,,,
201607,30555,"mc caysville, ga",259900.0,,,31,,,91.0,,,4,,,0,,,0.0,,,4.0,,,0.1379,,,,,,131.0,,,2000.0,,,350562.0,,,31,,,,,,
201607,92879,"corona, ca",429900.0,,,77,,,37.0,,,64,,,4,,,0.0199,,,20.0,,,0.1074,,,30.0,,,225.0,,,1862.0,,,435679.0,,,108,,,0.3896,,,
201607,54913,"appleton, wi",314900.0,,,150,,,59.0,,,28,,,4,,,0.0211,,,20.0,,,0.1053,,,10.0,,,118.0,,,2604.0,,,367563.0,,,159,,,0.0667,,,
201607,44250,"lakemore, oh",57400.0,,,8,,,47.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,1.0,,,53.0,,,876.0,,,83213.0,,,9,,,0.125,,,
201607,58102,"fargo, nd",189900.0,,,46,,,26.0,,,20,,,0,,,0.0,,,20.0,,,0.303,,,,,,99.0,,,2127.0,,,300663.0,,,46,,,,,,
201607,28668,"roaring gap, nc",299000.0,,,65,,,107.0,,,4,,,0,,,0.0,,,4.0,,,0.0588,,,1.0,,,146.0,,,2112.0,,,384662.0,,,65,,,0.0154,,,
201607,66773,"scammon, ks",53000.0,,,1,,,8.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,1.0,,,55.0,,,960.0,,,53000.0,,,1,,,1.0,,,
201607,04412,,150000.0,,,57,,,65.0,,,20,,,0,,,0.0,,,16.0,,,0.1928,,,4.0,,,86.0,,,1881.0,,,167750.0,,,60,,,0.0702,,,
201607,10701,"yonkers, ny",149250.0,,,143,,,63.0,,,36,,,0,,,0.0,,,20.0,,,0.1075,,,2.0,,,146.0,,,960.0,,,252672.0,,,145,,,0.014,,,
201607,65739,"ridgedale, mo",272400.0,,,24,,,92.0,,,4,,,0,,,0.0,,,4.0,,,0.1333,,,1.0,,,111.0,,,2675.0,,,444318.0,,,25,,,0.0417,,,
201607,01109,,99000.0,,,54,,,52.0,,,8,,,0,,,0.0,,,16.0,,,0.2105,,,14.0,,,73.0,,,1431.0,,,116882.0,,,69,,,0.2593,,,
201607,84772,"summit, ut",159000.0,,,1,,,51.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,58.0,,,2746.0,,,186000.0,,,1,,,,,,
201607,68649,"north bend, ne",252250.0,,,6,,,46.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,3.0,,,131.0,,,1596.0,,,226483.0,,,9,,,0.5,,,
201607,49038,"coloma, mi",319999.0,,,74,,,102.0,,,12,,,0,,,0.0,,,16.0,,,0.186,,,,,,178.0,,,1838.0,,,522625.0,,,74,,,,,,
201607,23177,"walkerton, va",189475.0,,,3,,,22.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,124.0,,,1400.0,,,185988.0,,,3,,,,,,
201607,95824,"sacramento, ca",205000.0,,,26,,,26.0,,,32,,,8,,,0.0727,,,12.0,,,0.1231,,,40.0,,,173.0,,,1104.0,,,209628.0,,,66,,,1.5385,,,
201607,44805,"ashland, oh",109900.0,,,102,,,61.0,,,32,,,0,,,0.0,,,28.0,,,0.1972,,,2.0,,,74.0,,,1540.0,,,131214.0,,,105,,,0.0196,,,
201607,45068,"waynesville, oh",376950.0,,,51,,,72.0,,,16,,,0,,,0.0,,,16.0,,,0.1667,,,21.0,,,118.0,,,3088.0,,,427317.0,,,72,,,0.4118,,,
201607,75964,"nacogdoches, tx",158200.0,,,71,,,99.0,,,8,,,0,,,0.0,,,12.0,,,0.1481,,,1.0,,,81.0,,,1764.0,,,199570.0,,,72,,,0.0141,,,
201607,72133,,285000.0,,,1,,,116.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,285000.0,,,1,,,,,,
201607,36769,"pine hill, al",195500.0,,,1,,,207.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,61.0,,,3220.0,,,195500.0,,,1,,,,,,
201607,84067,"roy, ut",199000.0,,,67,,,18.0,,,84,,,0,,,0.0,,,36.0,,,0.1295,,,136.0,,,99.0,,,1929.0,,,200545.0,,,203,,,2.0299,,,
201607,06514,,189500.0,,,141,,,55.0,,,48,,,0,,,0.0,,,36.0,,,0.1469,,,53.0,,,120.0,,,1496.0,,,213478.0,,,191,,,0.3759,,,
201607,68740,"hoskins, ne",169900.0,,,1,,,30.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,72.0,,,2372.0,,,169900.0,,,1,,,,,,
201607,25678,"matewan, wv",82500.0,,,4,,,203.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,57.0,,,1400.0,,,85475.0,,,4,,,,,,
201607,76012,"arlington, tx",265000.0,,,49,,,32.0,,,48,,,4,,,0.0317,,,28.0,,,0.1707,,,53.0,,,102.0,,,2689.0,,,385005.0,,,102,,,1.0816,,,
201607,18020,"bethlehem, pa",265200.0,,,90,,,59.0,,,36,,,0,,,0.0,,,28.0,,,0.2373,,,3.0,,,129.0,,,1860.0,,,289662.0,,,93,,,0.0333,,,
201607,28594,"emerald isle, nc",399000.0,,,218,,,102.0,,,20,,,0,,,0.0,,,28.0,,,0.1004,,,38.0,,,250.0,,,1639.0,,,532536.0,,,256,,,0.1743,,,
201607,37869,"sneedville, tn",134950.0,,,36,,,100.0,,,4,,,0,,,0.0,,,4.0,,,0.093,,,3.0,,,89.0,,,1440.0,,,166509.0,,,37,,,0.0833,,,
201607,91744,"la puente, ca",429500.0,,,53,,,43.0,,,48,,,0,,,0.0,,,12.0,,,0.0857,,,27.0,,,304.0,,,1323.0,,,440974.0,,,80,,,0.5094,,,
201607,29547,"hamer, sc",154950.0,,,6,,,99.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,108.0,,,1691.0,,,189550.0,,,6,,,,,,
201607,01610,,120000.0,,,14,,,98.0,,,8,,,0,,,0.0,,,4.0,,,0.1379,,,6.0,,,95.0,,,1260.0,,,153594.0,,,20,,,0.4286,,,
201607,11735,"farmingdale, ny",409990.0,,,93,,,45.0,,,32,,,0,,,0.0,,,8.0,,,0.0597,,,16.0,,,256.0,,,1615.0,,,429363.0,,,107,,,0.172,,,
201607,44132,"euclid, oh",70450.0,,,74,,,71.0,,,24,,,0,,,0.0,,,24.0,,,0.2154,,,21.0,,,53.0,,,1355.0,,,75391.0,,,95,,,0.2838,,,
201607,15924,"cairnbrook, pa",69000.0,,,1,,,53.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,2.0,,,37.0,,,1878.0,,,69000.0,,,4,,,2.0,,,
201607,56452,"hackensack, mn",194900.0,,,53,,,103.0,,,8,,,0,,,0.0,,,20.0,,,0.1765,,,7.0,,,179.0,,,1336.0,,,270327.0,,,61,,,0.1321,,,
201607,21861,"sharptown, md",134900.0,,,5,,,67.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,2.0,,,72.0,,,1640.0,,,107886.0,,,8,,,0.4,,,
201607,52241,"coralville, ia",302450.0,,,116,,,51.0,,,36,,,0,,,0.0,,,20.0,,,0.1307,,,1.0,,,122.0,,,2374.0,,,333896.0,,,117,,,0.0086,,,
201607,52572,"moulton, ia",60000.0,,,5,,,263.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,53.0,,,1208.0,,,83940.0,,,5,,,,,,
201607,55009,"cannon falls, mn",259900.0,,,43,,,74.0,,,20,,,4,,,0.0426,,,12.0,,,0.1277,,,20.0,,,111.0,,,2414.0,,,321961.0,,,61,,,0.4651,,,
201607,28127,"new london, nc",370000.0,,,162,,,122.0,,,20,,,0,,,0.0,,,16.0,,,0.0851,,,5.0,,,171.0,,,1988.0,,,450666.0,,,168,,,0.0309,,,
201607,56435,"backus, mn",239000.0,,,42,,,71.0,,,8,,,0,,,0.0,,,16.0,,,0.2667,,,6.0,,,128.0,,,1782.0,,,247667.0,,,48,,,0.1429,,,
201607,38002,"arlington, tn",284475.0,,,283,,,45.0,,,120,,,0,,,0.0,,,80.0,,,0.2117,,,1.0,,,95.0,,,2918.0,,,316084.0,,,284,,,0.0035,,,
201607,08608,,144990.0,,,7,,,275.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,108.0,,,1504.0,,,146420.0,,,7,,,,,,
201607,17082,"port royal, pa",159000.0,,,13,,,130.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,6.0,,,109.0,,,1680.0,,,211957.0,,,20,,,0.4615,,,
201607,75976,"wells, tx",195950.0,,,2,,,93.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,126.0,,,1634.0,,,195950.0,,,2,,,,,,
201607,43946,"sardis, oh",169900.0,,,1,,,19.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,169900.0,,,1,,,,,,
201607,17721,"avis, pa",105000.0,,,4,,,22.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,2.0,,,77.0,,,1201.0,,,111960.0,,,6,,,0.5,,,
201607,12170,"stillwater, ny",335000.0,,,62,,,96.0,,,8,,,0,,,0.0,,,16.0,,,0.2025,,,16.0,,,152.0,,,2191.0,,,389210.0,,,79,,,0.2581,,,
201607,63334,"bowling green, mo",127450.0,,,30,,,59.0,,,4,,,0,,,0.0,,,4.0,,,0.1081,,,4.0,,,77.0,,,1630.0,,,142415.0,,,33,,,0.1333,,,
201607,49096,"vermontville, mi",156000.0,,,10,,,40.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,3.0,,,72.0,,,2194.0,,,174240.0,,,13,,,0.3,,,
201607,18655,"shickshinny, pa",98500.0,,,36,,,100.0,,,8,,,0,,,0.0,,,4.0,,,0.0889,,,1.0,,,64.0,,,1610.0,,,127334.0,,,37,,,0.0278,,,
201607,47635,"rockport, in",114750.0,,,26,,,76.0,,,0,,,0,,,0.0,,,8.0,,,0.25,,,,,,66.0,,,1740.0,,,141967.0,,,26,,,,,,
201607,64743,"east lynne, mo",112425.0,,,4,,,50.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,1.0,,,89.0,,,1330.0,,,93950.0,,,4,,,0.25,,,
201607,06820,,1795000.0,,,227,,,82.0,,,28,,,0,,,0.0,,,40.0,,,0.1449,,,18.0,,,524.0,,,3596.0,,,2404024.0,,,243,,,0.0793,,,
201607,76502,"temple, tx",179900.0,,,249,,,45.0,,,76,,,4,,,0.0126,,,48.0,,,0.142,,,10.0,,,98.0,,,1963.0,,,215823.0,,,254,,,0.0402,,,
201607,18347,"pocono lake, pa",129900.0,,,279,,,92.0,,,40,,,0,,,0.0,,,60.0,,,0.1917,,,14.0,,,92.0,,,1516.0,,,156217.0,,,294,,,0.0502,,,
201607,22503,"lancaster, va",368500.0,,,114,,,94.0,,,16,,,0,,,0.0,,,16.0,,,0.1212,,,0.0,,,188.0,,,1961.0,,,469552.0,,,114,,,0.0,,,
201607,80022,"commerce city, co",350000.0,,,96,,,25.0,,,104,,,8,,,0.0343,,,32.0,,,0.1373,,,7.0,,,118.0,,,3139.0,,,346113.0,,,101,,,0.0729,,,
201607,63132,"saint louis, mo",369950.0,,,49,,,42.0,,,16,,,0,,,0.0,,,24.0,,,0.2083,,,34.0,,,174.0,,,1982.0,,,455607.0,,,83,,,0.6939,,,
201607,14204,"buffalo, ny",126771.0,,,1,,,15.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,0.0,,,124.0,,,1372.0,,,141600.0,,,1,,,0.0,,,
201607,17048,"lykens, pa",87400.0,,,18,,,72.0,,,4,,,0,,,0.0,,,4.0,,,0.1333,,,4.0,,,64.0,,,1586.0,,,115574.0,,,22,,,0.2222,,,
201607,06333,,396500.0,,,79,,,57.0,,,8,,,0,,,0.0,,,28.0,,,0.2947,,,4.0,,,161.0,,,2400.0,,,473489.0,,,83,,,0.0506,,,
201607,95383,"twain harte, ca",299900.0,,,86,,,52.0,,,32,,,4,,,0.0317,,,20.0,,,0.1587,,,13.0,,,185.0,,,1757.0,,,355166.0,,,99,,,0.1512,,,
201607,22579,,649000.0,,,15,,,122.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,190.0,,,2650.0,,,825927.0,,,15,,,,,,
201607,47978,"rensselaer, in",124950.0,,,68,,,66.0,,,20,,,0,,,0.0,,,8.0,,,0.0851,,,5.0,,,78.0,,,1724.0,,,160354.0,,,77,,,0.0735,,,
201607,95545,,1150000.0,,,1,,,5.0,,,2,,,0,,,0.0,,,0.0,,,0.0,,,,,,1045.0,,,1100.0,,,1150000.0,,,1,,,,,,
201607,71957,"mount ida, ar",124900.0,,,40,,,141.0,,,4,,,0,,,0.0,,,4.0,,,0.0909,,,1.0,,,80.0,,,1699.0,,,187713.0,,,40,,,0.0125,,,
201607,08326,,134450.0,,,11,,,100.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,3.0,,,103.0,,,1299.0,,,142742.0,,,15,,,0.2727,,,
201607,29458,"mc clellanville, sc",499900.0,,,23,,,122.0,,,4,,,0,,,0.0,,,4.0,,,0.1379,,,3.0,,,206.0,,,2221.0,,,563965.0,,,26,,,0.1304,,,
201607,04965,,127000.0,,,19,,,86.0,,,0,,,0,,,0.0,,,8.0,,,0.4444,,,1.0,,,87.0,,,1600.0,,,156538.0,,,19,,,0.0526,,,
201607,70458,"slidell, la",181700.0,,,226,,,47.0,,,96,,,0,,,0.0,,,72.0,,,0.1895,,,59.0,,,105.0,,,1850.0,,,241581.0,,,284,,,0.2611,,,
201607,45622,"creola, oh",150000.0,,,2,,,40.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,,,,143.0,,,1525.0,,,150000.0,,,2,,,,,,
201607,26147,"grantsville, wv",99900.0,,,4,,,95.0,,,0,,,0,,,0.0,,,0.0,,,0.0,,,1.0,,,71.0,,,1540.0,,,140575.0,,,5,,,0.25,,,
201607,54631,"gays mills, wi",174900.0,,,11,,,66.0,,,4,,,0,,,0.0,,,0.0,,,0.0,,,2.0,,,113.0,,,1463.0,,,305723.0,,,14,,,0.1818,,,
201607,17070,"new cumberland, pa",179900.0,,,69,,,49.0,,,28,,,0,,,0.0,,,28.0,,,0.1867,,,53.0,,,104.0,,,1764.0,,,241390.0,,,119,,,0.7681,,,
