year,county_geoid,county_name,total_jobs,resident_workers,pressure_ratio
2022,12129,Wakulla County,5911,15223,0.3882940287722525
2022,12131,Walton County,33494,30713,1.0905479764269201
2022,12133,Washington County,6030,9583,0.6292392778879266
2023,12001,Alachua County,139721,109052,1.2812328063676044
2023,12003,Baker County,6988,10918,0.6400439640959883
2023,12005,Bay County,79343,75892,1.045472513571918
2023,12007,Bradford County,5848,10633,0.5499858929747014
2023,12009,Brevard County,240501,266792,0.9014550661189241
2023,12011,Broward County,898463,898224,1.000266080621315
2023,12013,Calhoun County,3410,5177,0.6586826347305389
2023,12015,Charlotte County,57938,66564,0.8704104320653807
2023,12017,Citrus County,35013,51191,0.6839678849797816
2023,12019,Clay County,60502,102541,0.5900274036726773
2023,12021,Collier County,165588,165079,1.0030833722036117
2023,12023,Columbia County,24625,29171,0.8441602961845669
2023,12027,DeSoto County,9687,13055,0.7420145538108005
2023,12029,Dixie County,2738,5665,0.48331862312444834
2023,12031,Duval County,590497,478197,1.2348404527841037
2023,12033,Escambia County,160136,133996,1.1950804501626915
2023,12035,Flagler County,27935,47575,0.5871781397792959
2023,12037,Franklin County,3579,4482,0.7985274431057564
2023,12039,Gadsden County,16761,17219,0.9734014751146989
2023,12041,Gilchrist County,3574,7532,0.47450876261285185
2023,12043,Glades County,2406,4346,0.553612517257248
2023,12045,Gulf County,4282,5612,0.763007840342124
2023,12047,Hamilton County,2582,4546,0.5679718433787946
2023,12049,Hardee County,6991,10176,0.6870086477987422
2023,12051,Hendry County,11993,16493,0.7271569756866549
2023,12053,Hernando County,51235,78443,0.6531494205983963
2023,12055,Highlands County,28038,39497,0.7098766994961643
2023,12057,Hillsborough County,844193,706240,1.195334447213412
2023,12059,Holmes County,4295,7809,0.5500064028684851
2023,12061,Indian River County,57126,66688,0.8566158829174664
2023,12063,Jackson County,14417,17814,0.809307286403952
2023,12065,Jefferson County,2786,6084,0.457922419460881
2023,12067,Lafayette County,1335,3014,0.4429329794293298
2023,12069,Lake County,120029,175438,0.684167626169929
2023,12071,Lee County,293056,316895,0.9247731898578393
2023,12073,Leon County,170719,126632,1.3481505464653485
2023,12075,Levy County,9346,17187,0.5437830918717635
2023,12077,Liberty County,2057,3027,0.6795507102741989
2023,12079,Madison County,4731,6547,0.7226210478081564
2023,12081,Manatee County,145644,182249,0.7991484178239661
2023,12083,Marion County,117529,145742,0.8064181910499376
2023,12085,Martin County,78861,68270,1.1551340266588546
2023,12086,Miami-Dade County,1244071,1171050,1.0623551513598908
2023,12087,Monroe County,41028,43266,0.948273471085841
2023,12089,Nassau County,26220,43750,0.5993142857142857
2023,12091,Okaloosa County,91084,83646,1.088922363292925
2023,12093,Okeechobee County,11546,15148,0.7622128333773436
2023,12095,Orange County,1016060,702064,1.4472469746347911
2023,12097,Osceola County,119328,205268,0.581327825087203
2023,12099,Palm Beach County,678049,635546,1.0668763551340108
2023,12101,Pasco County,148907,259312,0.5742387548590115
2023,12103,Pinellas County,491465,446451,1.100826294486965
2023,12105,Polk County,284856,347183,0.8204779611904961
2023,12107,Putnam County,17308,28885,0.5992037389648607
2023,12109,St. Johns County,95238,130256,0.7311601768824468
2023,12111,St. Lucie County,89638,145222,0.6172480753604825
2023,12113,Santa Rosa County,45310,78023,0.5807261961216564
2023,12115,Sarasota County,194397,172283,1.1283585728133363
2023,12117,Seminole County,227139,235027,0.9664378986244133
2023,12119,Sumter County,37385,34313,1.0895287500364292
2023,12121,Suwannee County,11204,16040,0.6985037406483791
2023,12123,Taylor County,6146,7758,0.7922144882701727
2023,12125,Union County,3056,6039,0.5060440470276536
2023,12127,Volusia County,186339,247426,0.753110020773888
2023,12129,Wakulla County,6266,15644,0.40053694707236
2023,12131,Walton County,34667,32950,1.0521092564491654
2023,12133,Washington County,6133,10143,0.6046534555851326
