tract_geoid,total_jobs,resident_workers,pressure_ratio
12011020313,422,3310,0.12749244712990937
12011020314,4634,2467,1.8783948115119578
12011020315,1934,2364,0.8181049069373942
12011020316,2203,2062,1.068380213385063
12011020317,568,1518,0.37417654808959155
12011020318,1878,4192,0.44799618320610685
12011020319,489,2947,0.165931455717679
12011020320,2676,2431,1.1007815713698066
12011020321,126,945,0.13333333333333333
12011020322,812,1575,0.5155555555555555
12011020323,1817,1876,0.9685501066098081
12011020324,362,3383,0.10700561631687851
12011020325,266,1539,0.1728395061728395
12011020326,8352,2821,2.9606522509748316
12011020404,757,3896,0.1943018480492813
12011020405,133,2378,0.05592935239697225
12011020406,812,3883,0.20911666237445276
12011020407,2811,3760,0.7476063829787234
12011020412,681,1678,0.4058402860548272
12011020414,446,2264,0.19699646643109542
12011020415,844,1825,0.4624657534246575
12011020416,265,1962,0.13506625891946994
12011020417,51,1473,0.034623217922606926
12011020418,741,1788,0.41442953020134227
12011020419,1787,1849,0.9664683612763656
12011020420,106,1589,0.06670862177470108
12011020421,110,2360,0.046610169491525424
12011020501,707,2391,0.2956921790046006
12011020502,433,3527,0.12276722426991778
12011030100,1327,1705,0.7782991202346041
12011030201,887,1925,0.4607792207792208
12011030202,1258,810,1.5530864197530865
12011030203,916,2064,0.4437984496124031
12011030301,1559,1302,1.1973886328725039
12011030302,1579,3646,0.43307734503565554
12011030401,1759,1709,1.029256875365711
12011030402,1103,2049,0.5383113714006833
12011030500,10681,2838,3.7635658914728682
12011030601,8697,1522,5.71419185282523
12011030602,1121,2006,0.5588235294117647
12011030702,386,1604,0.24064837905236908
12011030703,785,2341,0.3353267834258864
12011030704,102,2152,0.047397769516728624
12011030705,302,1077,0.28040854224698236
12011030803,7529,1822,4.132272228320527
12011030804,1225,1350,0.9074074074074074
12011030805,3665,1289,2.8432893716058962
12011030806,958,1854,0.5167206040992449
12011030902,1474,1711,0.8614845119812975
12011030903,1387,2063,0.6723218613669414
12011030904,592,2196,0.26958105646630237
12011031001,3062,1349,2.2698295033358042
12011031002,1701,1983,0.8577912254160364
12011031101,988,1047,0.9436485195797517
12011031102,2158,1557,1.3859987154784843
12011031203,560,499,1.122244488977956
12011031204,418,1081,0.3866790009250694
12011031205,225,626,0.35942492012779553
12011031206,404,931,0.4339419978517723
12011031207,582,1352,0.43047337278106507
12011040101,833,530,1.5716981132075472
12011040102,1468,1006,1.459244532803181
12011040203,1809,752,2.4055851063829787
12011040204,1021,1486,0.6870794078061911
12011040205,1131,2188,0.5169104204753199
12011040206,3780,1460,2.589041095890411
12011040300,4736,1784,2.6547085201793723
12011040401,809,984,0.8221544715447154
12011040402,5012,1347,3.720861172976986
12011040502,1419,1393,1.018664752333094
12011040503,743,722,1.0290858725761773
12011040505,585,491,1.1914460285132382
12011040506,394,748,0.5267379679144385
12011040601,3532,1688,2.0924170616113744
12011040602,1259,1450,0.8682758620689656
12011040701,1116,1307,0.8538638102524866
12011040702,3077,1922,1.6009365244536942
12011040801,205,2287,0.08963707914298208
12011040802,718,2234,0.3213965980304387
12011040901,897,2228,0.4026032315978456
12011040902,246,1971,0.1248097412480974
12011041000,809,1458,0.5548696844993142
12011041100,226,2543,0.08887141171844279
12011041200,2255,2194,1.027803099361896
12011041300,1468,3341,0.4393894043699491
12011041400,5940,1450,4.096551724137931
12011041500,1152,1678,0.6865315852205006
12011041601,835,1620,0.5154320987654321
12011041602,164,1471,0.1114887831407206
12011041700,2598,2129,1.2202912165335837
12011041801,792,927,0.8543689320388349
12011041802,613,1682,0.3644470868014269
12011041900,6529,2113,3.089919545669664
12011042000,596,1320,0.45151515151515154
12011042100,4605,1145,4.021834061135372
12011042200,1562,1173,1.3316283034953111
12011042301,2865,2142,1.3375350140056022
12011042302,11055,1122,9.852941176470589
12011042400,198,609,0.3251231527093596
12011042501,6775,2851,2.3763591722202735
12011042502,31769,2969,10.7002357696194
12011042601,1321,1787,0.7392277560156687
12011042602,339,1148,0.2952961672473868
12011042700,368,2428,0.1515650741350906
12011042801,1235,2271,0.543813298106561
12011042802,721,1161,0.6210163652024118
12011042900,1114,3364,0.33115338882282996
12011043001,80,711,0.11251758087201125
12011043002,1404,3035,0.4626029654036244
12011043100,908,2224,0.40827338129496404
12011043301,1625,2317,0.7013379369874838
12011043302,5958,1031,5.778855480116392
12011050100,10513,1881,5.589048378522063
12011050204,14642,2978,4.916722632639355
12011050205,179,1101,0.16257947320617622
12011050206,4593,1588,2.8923173803526447
12011050207,9622,3469,2.7737100028826753
12011050208,26070,1785,14.605042016806722
12011050301,948,4463,0.21241317499439838
12011050306,1421,2168,0.6554428044280443
12011050308,346,1659,0.20855937311633513
12011050309,674,1216,0.5542763157894737
12011050311,210,1713,0.12259194395796848
12011050312,1587,1130,1.404424778761062
12011050313,698,2096,0.3330152671755725
12011050314,30,1453,0.02064693737095664
12011050315,258,1983,0.13010590015128592
12011050316,610,1237,0.4931285367825384
12011050401,570,2124,0.268361581920904
12011050402,1378,2317,0.5947345705653863
12011050501,2084,1997,1.043565348022033
12011050502,1612,2555,0.6309197651663405
12011050601,1926,1707,1.1282952548330405
12011050602,3032,1875,1.6170666666666667
12011050701,3222,1639,1.9658328248932275
12011050702,4106,3048,1.3471128608923884
12011050800,3028,2623,1.154403354937095
12011050900,3554,2540,1.3992125984251969
12011051001,1423,1579,0.9012032932235592
12011051002,1167,1143,1.020997375328084
12011060105,1527,3792,0.4026898734177215
12011060107,47,2022,0.02324431256181998
12011060109,135,1817,0.07429829389102917
12011060111,5942,3420,1.7374269005847953
12011060113,5395,3496,1.543192219679634
12011060114,820,3529,0.2323604420515727
12011060115,3368,3718,0.9058633674018289
12011060116,1307,3869,0.3378133884724735
12011060117,2058,3085,0.6670988654781199
12011060118,212,2535,0.08362919132149901
12011060119,207,3505,0.05905848787446505
12011060120,33953,3916,8.67032686414709
12011060121,4883,2681,1.8213353226408058
12011060122,504,2804,0.1797432239657632
12011060123,186,1639,0.11348383160463697
12011060124,602,2899,0.20765781303897896
12011060125,32231,1276,25.259404388714735
12011060126,1950,2622,0.7437070938215103
12011060127,1077,1698,0.6342756183745583
12011060128,137,2999,0.045681893964654885
12011060129,957,1171,0.8172502134927413
12011060130,322,2236,0.1440071556350626
12011060203,733,2943,0.2490655793408087
12011060206,736,2522,0.29183187946074546
12011060207,760,1881,0.40404040404040403
12011060208,140,3109,0.045030556449018974
12011060209,285,1493,0.19089082384460818
12011060210,109,1664,0.0655048076923077
12011060211,300,1876,0.15991471215351813
12011060212,118,1815,0.06501377410468319
12011060214,88,1087,0.08095676172953081
12011060215,17,1027,0.016553067185978577
12011060302,199,3069,0.06484196806777452
12011060303,375,3012,0.12450199203187251
12011060304,52,1438,0.03616133518776078
12011060305,150,1259,0.11914217633042097
12011060306,461,1109,0.41568981064021643
12011060401,44,2424,0.018151815181518153
12011060402,361,3079,0.11724585904514452
12011060404,671,1205,0.5568464730290457
12011060405,190,1675,0.11343283582089553
12011060501,4906,3356,1.4618593563766389
12011060503,790,2570,0.30739299610894943
12011060504,620,2202,0.2815622161671208
12011060505,3339,1916,1.7426931106471817
12011060603,684,2289,0.29882044560943644
12011060605,4116,2122,1.9396795475966069
12011060606,3924,2921,1.34337555631633
12011060607,122,1419,0.08597603946441155
12011060608,1689,3329,0.507359567437669
12011060609,818,1752,0.4668949771689498
12011060700,860,1571,0.547422024188415
12011060801,833,1052,0.7918250950570342
12011060802,1999,3358,0.5952948183442526
12011060900,374,2217,0.16869643662607126
12011061001,641,2906,0.2205781142463868
12011061003,387,1645,0.235258358662614
12011061004,19021,2975,6.3936134453781515
12011061100,1083,3336,0.32464028776978415
12011070102,9106,827,11.010882708585248
12011070103,1243,2388,0.5205192629815746
12011070104,4712,2534,1.8595106550907656
12011070204,11658,2224,5.241906474820144
12011070205,1792,3063,0.5850473392099249
12011070208,2999,3590,0.8353760445682451
12011070209,301,2704,0.11131656804733728
12011070210,3182,1855,1.7153638814016172
12011070211,1628,2813,0.5787415570565233
12011070212,1272,1910,0.6659685863874345
12011070213,711,1715,0.4145772594752187
12011070304,2828,4112,0.6877431906614786
12011070306,1628,3901,0.4173288900281979
12011070310,921,2037,0.4521354933726068
12011070311,1276,2640,0.48333333333333334
12011070312,7876,3329,2.365875638329829
12011070314,1276,2527,0.5049465769687377
12011070315,872,2651,0.32893247831007166
12011070316,2062,2692,0.7659732540861813
12011070318,1052,2928,0.3592896174863388
12011070319,965,2166,0.4455216989843029
12011070320,406,3144,0.1291348600508906
12011070321,631,1548,0.4076227390180879
12011070323,267,1806,0.1478405315614618
12011070324,1093,2172,0.5032228360957642
12011070325,13129,1880,6.983510638297872
12011070326,1604,3129,0.5126238414829019
12011070327,131,2677,0.04893537542024654
12011070328,636,1151,0.5525629887054735
12011070329,237,1675,0.14149253731343284
12011070330,271,1781,0.15216170690623246
12011070331,1379,3233,0.4265388184348902
12011070401,2407,3345,0.7195814648729447
12011070402,1070,1820,0.5879120879120879
12011070403,540,2835,0.19047619047619047
12011070404,1002,1868,0.5364025695931478
12011070405,499,2767,0.18033971810625227
12011070501,1842,2907,0.6336429308565531
12011070503,985,3560,0.27668539325842695
12011070504,246,1980,0.12424242424242424
12011070601,1419,2409,0.589041095890411
12011070602,5641,3451,1.6345986670530281
12011080102,5629,1894,2.9720168954593453
12011080103,122,806,0.1513647642679901
12011080104,591,1077,0.5487465181058496
12011080105,841,1165,0.7218884120171674
