month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202602,12061,"indian river, fl",437000,-0.0267,-0.0289,1853,0.0505,-0.0587,80,-0.0244,0.0631,452,-0.1812,-0.1661,38,0.3571,1.1111,0.0134,0.003,0.0073,586,0.1627,-0.2207,0.2111,0.0329,-0.0425,503,0.3294,0.0818,252,-0.0038,-0.0397,1762,-0.0082,-0.0116,873253,-0.0285,-0.0979,2350,0.1041,-0.0303,0.2712,0.0569,0.0352,0
202602,12125,"union, fl",312400,-0.0942,-0.1544,14,0.4,0.4,36,-0.7829,-0.4538,4,0,0,0,,,0,0,0,2,,0,0.125,0.125,0.0139,6,0.8333,0.5714,198,-0.0068,-0.0044,1680,-0.0779,-0.0543,351921,-0.028,-0.0869,20,0.5,0.4444,0.3929,0.0929,0.0429,1
202602,12019,"clay, fl",360000,0.0003,-0.0319,832,-0.0072,-0.0952,80,-0.0305,0.1691,328,0.0933,-0.1038,18,-0.7,-0.4706,0.0117,-0.025,-0.0084,354,-0.0275,-0.2027,0.2286,-0.0105,-0.0326,434,0.2602,0.0878,192,-0.0008,-0.0216,1872,0.0065,-0.0039,410814,-0.0079,-0.0539,1257,0.0594,-0.051,0.521,0.1105,0.0876,0
202602,12111,"st. lucie, fl",415283,0.0007,-0.0342,3091,0.0425,-0.0721,77,-0.0753,0.1287,854,-0.0161,-0.1232,54,-0.1563,-0.1,0.0114,-0.0044,-0.0002,1048,0.0826,-0.1988,0.2178,0.0112,-0.0403,861,0.3125,0.1138,234,-0.0027,-0.044,1755,0.004,-0.0037,529255,-0.0055,-0.063,3944,0.0901,-0.0376,0.2786,0.0573,0.0465,0
202602,12085,"martin, fl",525000,0.0501,0.0146,1425,0.0398,-0.1105,79,-0.0814,0.1533,386,0.0052,-0.2461,12,0,0.2,0.0054,0,0.0014,460,0.0455,-0.3009,0.2051,0.0083,-0.0613,427,0.4312,0.1358,297,0.0091,-0.0178,1671,0,0.0283,1400870,0.0043,0.0883,1844,0.1075,-0.0673,0.2994,0.0819,0.0649,0
202602,12067,"lafayette, fl",390500,-0.0476,-0.194,19,0.2333,0.0882,92,-0.0541,1.2515,8,1,1,0,,,0,0,0,2,-0.5,-0.6667,0.0714,-0.1025,-0.2063,7,1.1667,3.3333,231,-0.0193,0.0582,1888,-0.0309,-0.1244,621797,-0.0807,0.3198,25,0.2895,0.3243,0.3514,0.1514,0.2631,1
202602,12011,"broward, fl",388641,-0.0161,-0.0283,16086,0.0232,-0.0349,82,-0.0632,0.1399,3742,-0.0747,-0.1241,160,-0.0244,0.0667,0.0069,-0.0005,0.0008,4024,0.036,-0.2367,0.1743,0.0058,-0.0426,3312,0.2181,0.0365,305,-0.0049,-0.0399,1200,-0.0058,-0.0099,800330,-0.0303,0.0068,19420,0.0533,-0.0206,0.2059,0.0329,0.0142,0
202602,12099,"palm beach, fl",500000,0.002,-0.0084,12818,0.0284,-0.0951,76,-0.05,0.0411,3564,-0.0399,-0.1273,134,-0.0946,0.1964,0.0067,-0.0008,0.0015,3958,0.0118,-0.2676,0.2008,-0.001,-0.0538,3500,0.3388,0.132,311,0.0048,-0.0106,1517,0.003,0.0097,1614591,0.0119,0.1192,16312,0.0828,-0.0541,0.273,0.0633,0.0548,0
202602,12103,"pinellas, fl",439700,0.0226,0.0346,7240,0.0333,0.0486,84,-0.0291,0.3047,2110,-0.0729,-0.186,60,0.3636,-0.0323,0.0053,0.0011,-0.0001,2978,0.0384,-0.0837,0.2638,0.0027,-0.0189,1950,0.3816,0.047,313,0.0114,0.0043,1375,0.0077,0.0492,729380,0.0248,0.0897,9187,0.0917,0.0483,0.2693,0.0679,-0.0004,0
202602,12127,"volusia, fl",371875,-0.0081,-0.0083,4282,0.0103,-0.1177,83,-0.0514,0.137,1156,-0.0617,-0.2908,38,-0.05,-0.5581,0.0057,-0.0004,-0.0056,1390,0.1102,-0.2805,0.212,0.0215,-0.0405,1201,0.295,-0.0136,236,0.0028,-0.0351,1579,-0.0069,0.0169,478812,-0.0158,-0.0424,5471,0.062,-0.0951,0.2804,0.0617,0.0296,0
202602,12079,"madison, fl",390725,0.1244,0.3892,47,-0.06,0,98,-0.1624,0.1879,8,-0.3333,-0.2,0,,,0,0,0,10,-0.1667,0,0.1367,-0.0424,-0.0109,11,0.2222,0.1579,180,0.1028,0.1785,2056,0.0366,0.0498,479205,0.1076,0.2539,57,-0.0339,-0.0087,0.234,0.054,0.0319,0
